traceroute to google.com (74.125.128.113), 30 hops max, 60 byte packets
 1  202.112.28.97 (202.112.28.97)  6.141 ms  6.211 ms *
 2   (202.112.27.226)  0.677 ms  0.679 ms  2.054 ms
 3  10.255.38.254 (10.255.38.254)  0.510 ms  0.503 ms  0.486 ms
 4   (202.112.27.1)  1.447 ms  1.482 ms  5.706 ms
 5  101.4.115.174 (101.4.115.174)  0.393 ms 101.4.117.177 (101.4.117.177)  0.435 ms 101.4.115.170 (101.4.115.170)  0.401 ms
 6  101.4.117.30 (101.4.117.30)  23.036 ms  22.754 ms  22.742 ms
 7  101.4.116.117 (101.4.116.117)  28.493 ms  28.589 ms  28.552 ms
 8  101.4.112.69 (101.4.112.69)  26.250 ms  26.245 ms  26.231 ms
 9  101.4.116.134 (101.4.116.134)  30.268 ms  30.223 ms  29.873 ms
10  101.4.117.98 (101.4.117.98)  26.884 ms  29.458 ms  29.528 ms
11  101.4.117.170 (101.4.117.170)  177.278 ms  177.320 ms  177.306 ms
12  38.88.196.185 (38.88.196.185)  173.904 ms  173.830 ms  173.834 ms
13  be2019.ccr21.lax01.atlas.cogentco.com (154.54.88.9)  174.302 ms be2076.mpd22.lax01.atlas.cogentco.com (154.54.2.166)  173.883 ms be2019.ccr21.lax01.atlas.cogentco.com (154.54.88.9)  174.252 ms
14  be2163.ccr22.sjc01.atlas.cogentco.com (154.54.27.238)  186.372 ms  186.408 ms be2162.ccr21.sjc01.atlas.cogentco.com (154.54.27.174)  186.169 ms
15  be2000.ccr21.sjc03.atlas.cogentco.com (154.54.6.106)  186.921 ms be2047.ccr21.sjc03.atlas.cogentco.com (154.54.5.114)  187.026 ms be2000.ccr21.sjc03.atlas.cogentco.com (154.54.6.106)  187.599 ms
16  38.88.224.6 (38.88.224.6)  187.790 ms  187.882 ms  186.248 ms
17  209.85.249.5 (209.85.249.5)  200.842 ms 209.85.249.3 (209.85.249.3)  186.789 ms 209.85.249.5 (209.85.249.5)  198.513 ms
18  209.85.250.63 (209.85.250.63)  187.038 ms 209.85.250.60 (209.85.250.60)  187.157 ms 209.85.246.253 (209.85.246.253)  341.794 ms
19  72.14.232.63 (72.14.232.63)  202.235 ms 216.239.49.198 (216.239.49.198)  202.409 ms 72.14.232.63 (72.14.232.63)  202.308 ms
20  72.14.233.59 (72.14.233.59)  202.744 ms  239.896 ms 72.14.239.247 (72.14.239.247)  239.369 ms
21  209.85.250.228 (209.85.250.228)  296.895 ms  291.842 ms  294.942 ms
22  66.249.94.122 (66.249.94.122)  340.688 ms 66.249.94.30 (66.249.94.30)  340.254 ms 66.249.94.122 (66.249.94.122)  354.447 ms
23  209.85.253.71 (209.85.253.71)  343.998 ms 216.239.43.17 (216.239.43.17)  337.598 ms 209.85.253.71 (209.85.253.71)  343.655 ms
24  * * *
25  hg-in-f113.1e100.net (74.125.128.113)  341.120 ms  341.249 ms  343.855 ms
